BANC,FAFB,MCNS
720575941504552898,720575940629436631,41263
720575941432254222,720575940619367105,44871
720575941451967815,720575940630692456,46050
720575941578409041,720575940638946805,47309
720575941595298161,720575940626977947,48230
720575941662789244,720575940625870211,49089
720575941458080240,720575940630046582,49643
720575941532585091,720575940634531064,50840
720575941601533414,720575940614311135,51135
720575941440284245,720575940609722436,15545
720575941561749805,720575940610468050,18648
720575941488799689,720575940626198093,18411
720575941603036601,720575940626692355,18469
720575941643279816,720575940628485596,24358
720575941520689075,720575940623983508,24561
