BANC,MANC,MCNS
720575941604964030,19198,10133
720575941441579867,12000,532655
720575941431427832,17312,10096
720575941537986275,16401,10397
720575941447716116,11855,10459
720575941450502222,18906,555318
720575941470432887,19968,11837
720575941472995168,19005,10376
720575941496984448,13410,11359
720575941498871777,17622,527470
720575941515011907,14648,23477
720575941486832646,15160,11952
720575941633855931,18502,11594
720575941534007128,14363,11400
720575941537959651,19637,11975
720575941551975679,14048,11262
720575941515892995,19923,11292
720575941535087704,20582,10632
720575941603666617,17125,11783
720575941568914164,16569,11523
720575941574107643,14799,11870
720575941496262855,17239,10463
720575941449920605,100556,11531
720575941688907638,18436,12338
720575941519327086,14547,529429
720575941477854785,18272,11099
720575941671349671,17915,23401
720575941536605160,13322,10905
