FAFB,MANC,MCNS
720575940622338742,19198,10133
720575940619071005,12000,532655
720575940637136752,17312,10096
720575940637623780,16401,10397
720575940640541091,11855,10459
720575940640803200,18906,555318
720575940610161091,19968,11837
720575940628059978,19005,10376
720575940640415859,13410,11359
720575940621542747,17622,527470
720575940621585279,14648,23477
720575940612347571,15160,11952
720575940646576436,18502,11594
720575940605758142,14363,11400
720575940648633988,19637,11975
720575940612637554,14048,11262
720575940629792732,19923,11292
720575940622650879,20582,10632
720575940660217729,17125,11783
720575940613804259,16569,11523
720575940630225403,14799,11870
720575940616758322,17239,10463
720575940616908177,100556,11531
720575940624832743,18436,12338
720575940623137997,14547,529429
720575940617299131,18272,11099
720575940614956072,17915,23401
720575940622726271,13322,10905
